15:48:05 | bridge | INFO | loaded 200 devices with access tokens from registry
15:48:05 | bridge | INFO | [CONNECTION MADE]
15:48:06 | bridge | INFO | hivemq connected rc=0, subscribing to campus/#
15:48:06 | bridge | INFO | [SEND SUB] 1 [b'campus/#']
15:48:06 | bridge | INFO | [SUBACK] 1 (1,)
15:48:06 | bridge | INFO | [CONNECTION MADE]
15:48:06 | bridge | INFO | [CONNECTION MADE]
15:48:06 | bridge | INFO | [CONNECTION MADE]
15:48:06 | bridge | INFO | [CONNECTION MADE]
15:48:06 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:07 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:08 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
15:48:09 | bridge | INFO | [CONNECTION MADE]
