room_key,protocol,floor_id,device_name,device_id,access_token,room_asset_id,floor_asset_id
b01-f01-r101,mqtt,1,mqtt-b01-f01-r101,83401940-37f4-11f1-b070-631fdef85036,Nq0soslv0Dj7S65XVC7R,8351a570-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r102,mqtt,1,mqtt-b01-f01-r102,835eebe0-37f4-11f1-b070-631fdef85036,Xvwq5SSXFCqNAC1UcB6v,83675050-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r103,mqtt,1,mqtt-b01-f01-r103,8372c200-37f4-11f1-b070-631fdef85036,wLZQFu8YSq62lrTwg0bT,837951b0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r104,mqtt,1,mqtt-b01-f01-r104,8382a080-37f4-11f1-b070-631fdef85036,q406Pg87iVNOfKc3Os0a,8389cc70-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r105,mqtt,1,mqtt-b01-f01-r105,83936960-37f4-11f1-b070-631fdef85036,WA4JUEDuZWWOPLf75z0f,839983e0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r106,mqtt,1,mqtt-b01-f01-r106,83a14c10-37f4-11f1-b070-631fdef85036,DVUoDO07MvuvzjwcSiKT,83a7b4b0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r107,mqtt,1,mqtt-b01-f01-r107,83aeb990-37f4-11f1-b070-631fdef85036,0eE7X1Hb0l1QOUDbFT08,83b485f0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r108,mqtt,1,mqtt-b01-f01-r108,83bd5f90-37f4-11f1-b070-631fdef85036,7OlPYo53I2bYS3iLre26,83c3ef40-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r109,mqtt,1,mqtt-b01-f01-r109,83cd1700-37f4-11f1-b070-631fdef85036,q15thhfIKVG8EsSSuw4c,83d2e360-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r110,mqtt,1,mqtt-b01-f01-r110,83db20c0-37f4-11f1-b070-631fdef85036,BvB9HmI281cHr9vuYeTB,83e273c0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r111,coap,1,coap-b01-f01-r111,83eb2650-37f4-11f1-b070-631fdef85036,OeK3ZsIXo3HboGLegS6n,83f22b30-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r112,coap,1,coap-b01-f01-r112,83fbef30-37f4-11f1-b070-631fdef85036,gPX7KKbqe0npPhfYnBhr,84016d70-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r113,coap,1,coap-b01-f01-r113,8409d1e0-37f4-11f1-b070-631fdef85036,ULyRVQeOBJCZABElqpTd,84103a80-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r114,coap,1,coap-b01-f01-r114,84198950-37f4-11f1-b070-631fdef85036,X6a7sd0cuPYL1GSEDlxV,841fcae0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r115,coap,1,coap-b01-f01-r115,84280840-37f4-11f1-b070-631fdef85036,KXP4N4QjfFVfEG14EcgG,842e49d0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r116,coap,1,coap-b01-f01-r116,8435eaf0-37f4-11f1-b070-631fdef85036,YYLDfefb65qGCoiaXeGf,843bb750-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r117,coap,1,coap-b01-f01-r117,8443f4b0-37f4-11f1-b070-631fdef85036,N4gT2GxuwaXhMyweh3fZ,8449c110-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r118,coap,1,coap-b01-f01-r118,845273a0-37f4-11f1-b070-631fdef85036,Vr0dv2bzTDngBZpfGa5r,84584000-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r119,coap,1,coap-b01-f01-r119,846167c0-37f4-11f1-b070-631fdef85036,JJ10sYEtwCREWvrFC2gl,84681e80-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f01-r120,coap,1,coap-b01-f01-r120,847257b0-37f4-11f1-b070-631fdef85036,G3wP4fOQOjkclkOlKzGl,847983a0-37f4-11f1-b070-631fdef85036,82f46a40-37f4-11f1-b070-631fdef85036
b01-f02-r201,mqtt,2,mqtt-b01-f02-r201,84843200-37f4-11f1-b070-631fdef85036,AmcOXTHH3SyWKiqzSkcX,8489d750-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
b01-f02-r202,mqtt,2,mqtt-b01-f02-r202,849289e0-37f4-11f1-b070-631fdef85036,W1tl5C7zgqn1a2uz6NUl,8498a460-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
b01-f02-r203,mqtt,2,mqtt-b01-f02-r203,84a1cc20-37f4-11f1-b070-631fdef85036,X3HZivwnKNLeRtQbVB5v,84a8f810-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
b01-f02-r204,mqtt,2,mqtt-b01-f02-r204,84b0c040-37f4-11f1-b070-631fdef85036,bnqUUjuFGhCE1t24FKNR,84b61770-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
b01-f02-r205,mqtt,2,mqtt-b01-f02-r205,84beca00-37f4-11f1-b070-631fdef85036,h4a5FGjs35D8rxOozJLj,84c42130-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
b01-f02-r206,mqtt,2,mqtt-b01-f02-r206,84ccfad0-37f4-11f1-b070-631fdef85036,tVt0Lf4WECfzZs6LRnzd,84d31550-37f4-11f1-b070-631fdef85036,82fca7a0-37f4-11f1-b070-631fdef85036
