campus-engine  | 2026-05-09 16:49:47 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r102 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:47 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r803 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:47 | coap.node | INFO | CoAP node b01-f10-r1016 listening on port 6699
campus-engine  | 2026-05-09 16:49:47 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f10-r1016 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | nodes.coap_node | WARNING | CoAP shadow failed for b01-f02-r215: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r608 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r306 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r606 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f07-r709 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r601 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:48 | mqtt.publisher | INFO | MQTT node mqtt-b01-f09-r906 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:49 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r505 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:49 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r604 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:49 | mqtt.publisher | INFO | MQTT node mqtt-b01-f08-r801 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f09-r905 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r201 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r509 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r501 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r204 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:50 | mqtt.publisher | INFO | MQTT node mqtt-b01-f09-r902 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:51 | mqtt.publisher | INFO | MQTT node mqtt-b01-f10-r1006 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:51 | mqtt.publisher | INFO | MQTT node mqtt-b01-f07-r708 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:51 | mqtt.publisher | INFO | MQTT node mqtt-b01-f01-r108 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:51 | mqtt.publisher | INFO | MQTT node mqtt-b01-f04-r402 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:51 | mqtt.publisher | INFO | MQTT node mqtt-b01-f07-r710 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:52 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r502 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:52 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r302 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:52 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r208 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:52 | mqtt.publisher | INFO | MQTT node mqtt-b01-f04-r405 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:52 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r603 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:53 | mqtt.publisher | INFO | MQTT node mqtt-b01-f01-r107 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:53 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r202 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:53 | mqtt.publisher | INFO | MQTT node mqtt-b01-f08-r805 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r303 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f04-r403 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f08-r809 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r206 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r209 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f10-r1005 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r103 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r808 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r113 listening on port 5796
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r113 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f04-r414 listening on port 6097
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f04-r414 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f02-r216 listening on port 5899
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r216 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f10-r1019 listening on port 6702
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f10-r1019 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f09-r917 listening on port 6600
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f09-r917 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1008 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r401 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r607 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r101 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r408 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f08-r813 listening on port 6496
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f08-r813 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r109 failed to connect: [Errno -3] Temporary failure in name resolution
